player,club_goals_2025_26,country_starts_last_10,source,market_count,market_types,example_matches,example_questions
Akram Afif,15,9,Club goals: Wikipedia 2025-26 Qatar Stars League top scorers. Country starts: researched estimate from Qatar regular-starter role/recent caps.,1,player_shot_on_target,CAN vs QAT,Will Akram Afif have at least 1 shot on target?
Antoine Semenyo,18,7,"Club goals: Wikipedia player stats, Bournemouth plus Man City 2025-26 totals. Country starts: researched estimate from Ghana usage.",2,player_shot_on_target,CRO vs GHA; ENG vs GHA,Will Antoine Semenyo have at least 1 shot on target?
Ben Waine,8,8,Club goals: Wikipedia player page says 8 Port Vale goals in 2025-26. Country starts: researched estimate from New Zealand striker usage.,1,player_shot_on_target,New Zealand vs EGY,Will Ben Waine have at least 1 shot on target?
Cody Gakpo,9,7,Club goals: Wikipedia 2025-26 Liverpool season goals table. Country starts: researched estimate from Netherlands forward rotation.,2,player_goal_or_assist;player_shot_on_target,NED vs SWE; TUN vs NED,Will Cody Gakpo have at least 1 shot on target? | Will Cody Gakpo score or assist a goal (excluding own goals)?
Cédric Bakambu,4,6,Club goals: Wikipedia player career table for Real Betis 2025-26. Country starts: researched estimate from DR Congo usage.,2,player_goal_or_assist;player_shot_on_target,COD vs UZB; COL vs COD,Will Cédric Bakambu score or assist a goal (excluding own goals)? | Will Cédric Bakambu have at least 1 shot on target?
Dani Olmo,8,5,Club goals: Wikipedia 2025-26 Barcelona season goals table. Country starts: researched estimate from Spain rotation/injury history.,1,player_shot_on_target,URU vs ESP,Will Dani Olmo have at least 1 shot on target in the second half?
Darwin Núñez,7,8,Club goals: Wikipedia 2025-26 Al Hilal season goals table. Country starts: researched estimate from Uruguay striker usage.,2,player_goal_or_assist;player_shot_on_target,URU vs CPV; URU vs ESP,Will Darwin Núñez score or assist a goal (excluding own goals)? | Will Darwin Núñez have at least 1 shot on target?
Duckens Nazon,2,10,Club goals: Wikipedia/Italian career table for Esteghlal 2025-26. Country starts: researched estimate from Haiti focal striker role.,2,player_shot_on_target,BRA vs Haiti; MAR vs Haiti,Will Duckens Nazon have at least 1 shot on target?
Edin Džeko,8,8,"Club goals: Wikipedia player career table, Fiorentina plus Schalke 2025-26 totals. Country starts: researched estimate from Bosnia captain/striker role.",2,player_shot_on_target,BIH vs QAT; SUI vs BIH,Will Edin Džeko have at least 1 shot on target?
Eldor Shomurodov,16,10,Club goals: Wikipedia 2025-26 Super Lig top scorers. Country starts: researched estimate from Uzbekistan captain/striker role.,2,player_shot_on_target,COD vs UZB; POR vs UZB,Will Eldor Shomurodov have at least 1 shot on target in the second half?
Ellyes Skhiri,0,9,Club goals: Wikipedia player career table for Eintracht Frankfurt 2025-26. Country starts: researched estimate from Tunisia midfield role.,2,player_shot_on_target,TUN vs JPN; TUN vs NED,Will Ellyes Skhiri have at least 1 shot on target?
Folarin Balogun,19,7,Club goals: Wikipedia player career table for Monaco 2025-26. Country starts: researched estimate from USA striker usage.,2,player_goal;player_shot_on_target,TUR vs USA; USA vs AUS,Will Folarin Balogun score a goal (excluding own goals)? | Will Folarin Balogun have at least 1 shot on target?
Gonçalo Ramos,12,3,Club goals: Wikipedia player career table for PSG 2025-26. Country starts: researched estimate from Portugal striker rotation.,2,player_goal;player_shot_on_target,COL vs POR; POR vs UZB,Will Gonçalo Ramos have at least 1 shot on target? | Will Gonçalo Ramos score a goal (excluding own goals)?
